               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.01518,           0.0066633,                   0,              0.9803,                   1,             0.99317,             0.89323,           0.0098273,           0.0024569,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.015495,           0.0069839,                   0,             0.98033,                   1,             0.99298,             0.89986,           0.0093355,            0.002511,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.014606,           0.0064512,                   0,             0.98351,                   1,             0.99243,             0.89781,            0.010169,           0.0023488,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.014117,           0.0061157,                   0,             0.98448,                   1,             0.99281,             0.90416,           0.0089816,           0.0023441,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.014019,           0.0065724,                   0,             0.98455,                   1,             0.99319,             0.89445,           0.0095563,           0.0023108,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.012881,           0.0065011,                   0,             0.98066,                   1,               0.993,              0.9111,           0.0089805,           0.0022813,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.013371,           0.0060901,                   0,             0.98338,                   1,              0.9929,             0.92979,           0.0085631,           0.0022648,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.013872,           0.0061881,                   0,              0.9818,                   1,              0.9931,             0.92598,           0.0082431,           0.0022445,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.012677,           0.0060845,                   0,             0.98073,                   1,             0.99329,             0.93262,           0.0081838,           0.0022319,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.012249,           0.0061709,                   0,             0.98083,                   1,             0.99338,             0.92631,           0.0081178,            0.002252,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.011292,           0.0053589,                   0,             0.98066,                   1,             0.99319,             0.92049,            0.008339,           0.0022937,                   0,            0.000496,            0.000496,            0.000496
